DigiKey PN,MPN,Description,Price,Quantity
S9175-ND,SBH11-PBPC-D20-ST-BK,CONN HEADER VERT 40POS 2.54MM,0.73,1
S7077-ND,PPTC092LFBN-RC,CONN HDR 18POS 0.1 TIN PCB,1.09,1
